Title,URL,Price,"Formatted Price","Currency Code",Gender,Category,"Store Name","Image URL",Saves
"Timex® 'Easy Reader' Leather Strap Watch | Nordstrom",http://shop.nordstrom.com/S/timex-easy-reader-leather-strap-watch/3208475?origin=category,75,$50-100,USD,neutral,accessories,Nordstrom,https://s3.amazonaws.com/assets.svpply.com/large/1011845.jpg?1404530142,372
"Cheap Monday Per Sweat","http://us.asos.com/Cheap-Monday-Per-Sweat/119dof/?iid=3348559&SearchQuery=cheap monday&sh=0&pge=0&pgesize=204&sort;=-1&clr=Black&mporgp=L0NoZWFwLU1vbmRheS9DaGVhcC1Nb25kYXktUGVyLVN3ZWF0L1Byb2Qv",84.00,$84.00,USD,male,apparel,Asos,https://s3.amazonaws.com/assets.svpply.com/large/3407621.jpg?1389382319,8
"Dope Diamond Sweater",http://inct.co.uk/shop/dope-diamond-sweater/,16.00,£16.00,GBP,neutral,apparel,Inct,https://s3.amazonaws.com/assets.svpply.com/large/2665816.jpg?1402437636,82
"Full Moon  in the dark  Print Poster",https://www.etsy.com/listing/103892479/full-moon-print-recovered-vintage-image,22.00,$22.00,USD,neutral,home,Etsy,https://s3.amazonaws.com/assets.svpply.com/large/2568767.jpg?1404386111,246
"Not a Real Doctor",http://www.buymebrunch.com/collections/mens/products/not-a-real-doctor-mens,22.00,$22.00,USD,male,apparel,Buymebrunch,https://s3.amazonaws.com/assets.svpply.com/large/2499117.jpg?1404460855,545
"Death Before Decaf Mug - Glamour Kills Clothing",http://www.glamourkills.com/shop/Death-Before-Decaf-Mug-p4409-c4706.html#,10.5,$1-20,USD,neutral,home,Glamourkills,https://s3.amazonaws.com/assets.svpply.com/large/1928023.jpg?1404399095,682
"Concrete Matter — Horizon Schoolchart",http://www.concrete-matter.com/collections/store/products/horizan-schoolchart,150,$100-200,USD,neutral,art,"Concrete Matter",https://s3.amazonaws.com/assets.svpply.com/large/2244057.jpg?1404061149,44
"Jawbone JAMBOX (Black Diamond)",http://amazon.com/dp/B004E10KI8/?tag=svpply01-20,169.99,$169.99,USD,neutral,other,Amazon,https://s3.amazonaws.com/assets.svpply.com/large/100622.jpg?1403846138,600
"Men's sweaters",http://www.jcrew.com/mens_category/sweaters/jcrewingoodcompany/PRDOVR~76521/76521.jsp,350,$200-500,USD,neutral,apparel,J.Crew,https://s3.amazonaws.com/assets.svpply.com/large/1747271.jpg?1403390228,148
"The Shape of Design, Print + eBook",http://shop.frankchimero.com/,29.99,$29.99,USD,neutral,media,"Frank Chimero",https://s3.amazonaws.com/assets.svpply.com/large/1497447.jpg?1392394914,26
"Men's ties & pocket squares",http://www.jcrew.com/mens_category/tiesandpocketsquares/cottonties/PRDOVR~75414/75414.jsp,75,$50-100,USD,male,accessories,J.Crew,https://s3.amazonaws.com/assets.svpply.com/large/1607294.jpg?1401080096,100
"Allen-Edmonds McAllister - Zappos.com Free Shipping BOTH Ways",http://vip.zappos.com/allen-edmonds-mcallister,350,$200-500,USD,male,shoes,Vip.zappos,https://s3.amazonaws.com/assets.svpply.com/large/119513.jpg?1401533850,31
"Ray-Ban RB4168 Meteor Sunglasses",http://www.ray-ban.com/usa/sunglasses/rb4168/710,150,$100-200,USD,neutral,accessories,Ray-ban,https://s3.amazonaws.com/assets.svpply.com/large/934883.jpg?1402207579,20
"Oxford shirt in Glendon plaid",http://www.jcrew.com/browse/single_product_detail.jsp?PRODUCT<>prd_id=845524441818280&FOLDER;<>folder_id=2534374302037732&nav_type=PRMNAV&bmUID=1318968923957,75,$50-100,USD,male,apparel,J.Crew,https://s3.amazonaws.com/assets.svpply.com/large/901848.jpg?1400554043,15
"Gant Rugger Wool-Blend Jacket | MR PORTER",http://www.mrporter.com/product/166073,150,$100-200,USD,male,apparel,"MR PORTER",https://s3.amazonaws.com/assets.svpply.com/large/1031882.jpg?1372734238,2
"TMA-1 - AIAIAI",http://www.aiaiai.dk/store/headphones/tma-1,350,$200-500,USD,neutral,tech,Aiaiai.dk,https://s3.amazonaws.com/assets.svpply.com/large/1113806.jpg?1347000597,6
"A Book Apart, Mobile First",http://www.abookapart.com/products/mobile-first,10.5,$1-20,USD,neutral,other,"A Book Apart",https://s3.amazonaws.com/assets.svpply.com/large/761659.jpg?1398147138,23
"Ludlow two-button suit jacket with double-vented back in cashmere",http://www.jcrew.com/mens_category/suitinganddressshirts/italianwoolsuiting/PRDOVR~34394/34394.jsp,2750,$500-5000,USD,male,apparel,J.Crew,https://s3.amazonaws.com/assets.svpply.com/large/757863.jpg?1393835727,12
"District High Dining Table",http://www.crateandbarrel.com/furniture/dining-tables/district-high-dining-table/s151010,2750,$500-5000,USD,neutral,home,"Crate and Barrel",https://s3.amazonaws.com/assets.svpply.com/large/480432.jpg?1400247043,4
"Schott Wool Car Coat",http://www.schottnyc.com/products/men/carcoat/wool-car-coat.htm,350,$200-500,USD,male,apparel,Schottnyc,https://s3.amazonaws.com/assets.svpply.com/large/63574.jpg?1404618950,306
